No ,Rempah,Funfact 1,Funfact 2
1,Adas,Banyak orang tidak tahu bahwa adas bisa membantu mengurangi gejala batuk dan menenangkan perut.,"Selain untuk memasak, biji adas sering dipakai untuk menyegarkan napas setelah makan di India."
2,Andaliman,"Andaliman dikenal dengan sensasi pedas dan kebas seperti merica Sichuan, tapi hanya tumbuh di Sumatra!","Andaliman memiliki senyawa yang membuat mulut mati rasa, mirip dengan efek anestesi lokal."
3,Asam Jawa,Ternyata asam Jawa sering dipakai sebagai bahan alami untuk membersihkan logam dan peralatan dapur.,Banyak yang belum tahu bahwa asam Jawa dapat digunakan untuk meredakan gigitan serangga secara alami.
4,Bawang Bombai,Bawang bombai mengandung senyawa sulfur yang bisa membuat mata berair saat dipotong.,"Di Mesir kuno, bawang bombai dianggap suci dan dikuburkan bersama para firaun sebagai simbol keabadian."
5,Bawang Merah,"Selain bumbu, bawang merah juga sering dipakai untuk mengobati flu dengan menghirup uap rebusannya.",Irisan bawang merah kadang diletakkan di kaki anak yang demam untuk menurunkan suhu tubuhnya.
6,Bawang Putih,"Selain sebagai bumbu, bawang putih digunakan dalam pengobatan alami karena sifat antibakterinya.",Bawang putih digunakan dalam banyak kebudayaan sebagai penangkal roh jahat dan vampir!
7,Biji Ketumbar,"Banyak yang belum tahu, biji ketumbar bisa membantu mengurangi bau badan jika dikonsumsi secara teratur!",Biji ketumbar ternyata bisa membantu mengurangi kadar kolesterol jahat dalam tubuh.
8,Bunga Lawang,Bunga lawang sering digunakan sebagai pengharum alami di rumah karena aromanya yang kuat.,"Bunga lawang memiliki zat shikimic acid, bahan dasar obat antivirus seperti Tamiflu."
9,Cengkeh,Cengkeh memiliki sifat antiseptik alami dan bisa digunakan untuk menghilangkan bau mulut.,"Dalam pengobatan tradisional, cengkeh sering digunakan untuk meredakan sakit gigi karena efek anestesi alaminya."
10,Daun Jeruk,Aroma daun jeruk purut bisa mengusir serangga secara alami tanpa bahan kimia.,"Tidak hanya untuk masakan, daun jeruk purut sering digunakan dalam minyak esensial untuk relaksasi."
11,Daun Kemangi,"Daun kemangi mengandung eugenol, zat yang bisa membantu meredakan sakit kepala.","Aroma daun kemangi bisa membantu mengusir nyamuk, menjadikannya pengusir serangga alami."
